"role_name","permission"
"authenticated user","subscribe to newsletters"
"authenticated user","unflag labdoo_like_flag"
"authenticated user","update own event_registration registration"
"authenticated user","use advanced search"
"authenticated user","use Search Autocomplete"
"authenticated user","use text format filtered_html"
"authenticated user","use text format filtered_html_advanced"
"authenticated user","view all user locations"
"authenticated user","view any private_page content"
"authenticated user","view files"
"authenticated user","view own event_registration registration"
"authenticated user","view own user location"
"authenticated user","view revisions"
"authenticated user","view Terms and Conditions"
"edoovillage manager","create edoovillage content"
"edoovillage manager","create labdoo_story content"
"edoovillage manager","create node_gallery_item content"
"edoovillage manager","delete any node_gallery_item content"
"edoovillage manager","delete own node_gallery_item content"
"edoovillage manager","display EU Cookie Compliance popup"
"edoovillage manager","edit any node_gallery_item content"
"edoovillage manager","edit own edoovillage content"
"edoovillage manager","edit own labdoo_story content"
"edoovillage manager","edit own node_gallery_item content"
"edoovillage manager","revert revisions"
"edoovillage manager","upload to all galleries"
"edoovillage manager","use text format filtered_html_advanced"
"hub manager","assign edoovillage manager role"
"hub manager","assign hub manager role"
"hub manager","create edoovillage content"
"hub manager","create hub content"
"hub manager","create labdoo_story content"
"hub manager","create node_gallery_item content"
"hub manager","delete any node_gallery_item content"
"hub manager","delete own edoovillage content"
"hub manager","delete own node_gallery_item content"
"hub manager","display EU Cookie Compliance popup"
"hub manager","edit any node_gallery_item content"
"hub manager","edit own edoovillage content"
"hub manager","edit own hub content"
"hub manager","edit own labdoo_story content"
"hub manager","edit own node_gallery_item content"
"hub manager","revert revisions"
"hub manager","upload to all galleries"
"laptop manager","display EU Cookie Compliance popup"
"laptop manager","edit any laptop content"
"newsletter manager","administer newsletters"
"newsletter manager","administer simplenews subscriptions"
"newsletter manager","create simplenews content"
"newsletter manager","delete own simplenews content"
"newsletter manager","display EU Cookie Compliance popup"
"newsletter manager","edit any simplenews content"
"newsletter manager","edit own simplenews content"
"newsletter manager","revert revisions"
"newsletter manager","send newsletter"
"newsletter manager","use text format filtered_html_advanced"
"superhub manager","access broken links report"
"superhub manager","access own broken links report"
"superhub manager","assign edoovillage manager role"
"superhub manager","assign hub manager role"
"superhub manager","assign laptop manager role"
"superhub manager","assign team manager role"
"superhub manager","assign wiki writer role"
"superhub manager","clone node"
"superhub manager","create event_registration registration other anonymous"
"superhub manager","create event_registration registration other users"
"superhub manager","create hub content"
"superhub manager","create labdoo_story content"
"superhub manager","create node_gallery_item content"
"superhub manager","create superhub_page content"
"superhub manager","delete any book content"
"superhub manager","delete any dootrip content"
"superhub manager","delete any event_registration registration"
"superhub manager","delete any node_gallery_item content"
"superhub manager","delete own hub content"
"superhub manager","delete own labdoo_story content"
"superhub manager","delete own node_gallery_item content"
"superhub manager","delete own superhub_page content"
"superhub manager","display EU Cookie Compliance popup"
"superhub manager","edit any dootrip content"
"superhub manager","edit any edoovillage content"
"superhub manager","edit any hub content"
"superhub manager","edit any labdoo_story content"
"superhub manager","edit any laptop content"
"superhub manager","edit any node_gallery_item content"
"superhub manager","edit any superhub_page content"
"superhub manager","edit event_registration registration state"
"superhub manager","edit own hub content"
"superhub manager","edit own labdoo_story content"
"superhub manager","edit own node_gallery_item content"
"superhub manager","edit own superhub_page content"
"superhub manager","revert revisions"
"superhub manager","upload to all galleries"
"superhub manager","use text format filtered_html_advanced"
"team manager","create team content"
"team manager","delete own team content"
"team manager","display EU Cookie Compliance popup"
"team manager","edit own team content"
"team manager","revert revisions"
"wiki writer","access broken links report"
"wiki writer","access own broken links report"
"wiki writer","add content to books"
"wiki writer","administer book outlines"
"wiki writer","create book content"
"wiki writer","create labdoo_story content"
"wiki writer","create new books"
"wiki writer","delete own book content"
"wiki writer","delete own labdoo_story content"
"wiki writer","display EU Cookie Compliance popup"
